Given the following options detailing modifications to AutoTest, which of the following would you...;;; Describe why you chose the option you did (r0_AutoTest)


More feedback on what grade my submission received;;; I would like the auto grader to show more details because often it goes from straight developing to proficient. (r1_AutoTest)


More detailed feedback;;; The AutoTest just showed a generic error and a suggestion on what to work on next but the feedback felt more from the point of view of the instructors than the students and it did not give any hints whatsoever about what was wrong in the code. Particularly in C3, we were stuck on a an AutoTest error for a long time and couldn't figure out what it meant even thought things were working locally and it cost me a significant portion of my grade. (r2_AutoTest)


More detailed feedback;;; it was very very annoying not to know what was failing. there were times that i could not identify at all what was wrong unless i could get in touch with a TA, and even they were unable to point what exactly was failing. it seemed to vague, which i understand is meant to push us, but the goal of testing should be to help identity where there are bugs, not that there are just a lot of bugs. (r3_AutoTest)




More detailed feedback;;; For C1, I was unable to get to proficient and I kept adding tests and felt like I had so many but without additional feedback I didn’t know where more tests needed to be added. For the last checkpoint autotest said I had passed all smoke tests but still wasn’t at proficient and told me to work on get-datasets. The error ended up being in the addrooms portion of addDataset and so that feedback did not really help and I had talked to every TA, none of them knew what the issue was, and so it ended up taking me a full week to find the bug. (r5_AutoTest)


Ability to check the same amount of feedback but more frequently;;; it would've let me iterate on my work and improve it in real-time without waiting around. (r10_AutoTest) 
More feedback on how the grade was computed;;; We had a lot of difficulty figuring out why we were still in Developping for the last checkpoint even though we passed all of the smoke tests. Having more feedback about which test cases were passing would have helped us a ton, since the autobot just gives you a generic response to work on a certain function, and in our case that function wasn't really the issue but rather was showing issues from other functions. Having some sort of insight eg. a couple test cases (short descriptions of test cases (setup and test)) would be SUPER helpful and a lot more realistic of real life I think. In our case even the TAs and profs weren't able to figure out the issue which I don't think is fair. (r6_AutoTest)


More feedback on what grade my submission received;;; It helps to gauge my progress better, as the grading bucket being arbitrary means that I have no idea how much work I need to do to reach the next tier. For example, if I'm in Developing, I need more information on what I'm missing to reach Proficient. (r7_AutoTest)


More detailed feedback;;; For every checkpoint we struggled to pin point the errors we were encountering. Especially for C3, on the autobot it kept saying we needed to work on GET. From that my group automatically assumed that our call to listDataset was wrong, so we spent days looking through it. At the end it was because we casted the buffer into a buffer (redundant), that was causing the error. (r8_AutoTest)


No changes;;; i don't want it as a crutch because that's not how software eng. works in real life (r9_AutoTest)


More feedback on how the grade was computed;;; I feel as though that I had 0 clue at first what the smoke tests could possibly even be checking. If it gave an example dataset then it would be far more reasonable, however this would maybe make it too easy. (r11_AutoTest)


More detailed feedback;;; I thought autobot was fine but sometimes I don't understand what the feedback means (eg. i got one that said work on valid edge cases, which could be more specific) (r12_AutoTest)


More feedback on how the grade was computed;;; I believe it was c2 that had the most problems with AutoTest where the grading buckets (the checkmarks) were not actually correlated with what we needed to fix to get the highest bucket, so more feedback on what steps are needed would have been helpful there. (r13_AutoTest)


No changes;;; my partner and I did our best to work incrementally and start early. We never wished or felt we needed to call the bot more than 4 times a day. We were confident in our tests too so once we saw we passed the smoke tests and were in the proficient bucket + all our tests passed - we were happy with the possible grade we would receive (r14_AutoTest)


